minibundle x0 y0 L01 L13 offset1 offset2
1    -39.4  52304.1   5984.0   5947.2   -0.735    0.311
x0 y0 x1 y1 x3 y3
   -39.4  52304.1   5944.2  52380.9     -6.0  52272.2
rot1=0 rot2=0-180 mean(erx) mean(ery)     12.8     14.1
rot1 rot2 x y erx ery
0 0      1.1  52268.3      7.1     -3.9
0 0     -6.5  52265.5     -0.5     -6.7
0 0      0.7  52262.2      6.7    -10.0
0 0     -5.0  52269.0      1.0     -3.2
0 0     -5.2  52281.1      0.8      8.9
0 0     -3.1  52272.0      2.9     -0.2
0 0     -5.1  52277.9      0.9      5.7
0 0    -10.4  52294.1     -4.4     21.9
0 0      2.1  52274.8      8.1      2.6
0 0     -6.0  52275.5     -0.0      3.3
30 0    -39.0  52239.8    -12.6    -20.0
30 0    -36.8  52231.3    -10.4    -28.5
30 0    -49.1  52224.3    -22.7    -35.4
60 0    -72.3  52236.8    -22.0    -22.5
60 0    -68.0  52240.4    -17.7    -18.8
60 0    -63.5  52232.3    -13.2    -26.9
90 0    -95.7  52276.1    -24.4      5.4
90 0    -91.7  52259.5    -20.5    -11.2
90 0    -94.9  52272.8    -23.6      2.1
120 0    -72.7  52299.0     11.0      7.9
120 0   -122.1  52292.2    -38.4      1.1
120 0   -103.1  52326.5    -19.4     35.4
180 0    -70.0  52361.3      2.8     25.3
180 0    -67.4  52363.9      5.3     28.0
180 0    -80.5  52359.7     -7.8     23.8
210 0    -42.6  52380.1      9.7     31.7
210 0    -44.9  52367.0      7.4     18.7
210 0    -41.9  52374.0     10.5     25.6
240 0     -0.5  52362.8     28.0     13.9
240 0     -5.5  52359.6     23.0     10.7
240 0     -0.7  52360.4     27.8     11.5
270 0     23.0  52316.7     30.5    -20.8
270 0     22.4  52348.4     29.9     11.0
270 0     32.8  52330.0     40.3     -7.4
300 0     25.7  52299.5     20.7    -17.5
300 0     37.1  52309.9     32.2     -7.2
300 0     28.7  52291.6     23.8    -25.4
330 0     12.7  52268.4      7.3    -24.7
330 0     13.2  52272.9      7.7    -20.2
330 0     18.5  52273.7     13.1    -19.4
360 0     18.7  52287.0     24.7     14.8
360 0     13.5  52287.3     19.5     15.1
360 0     13.4  52268.4     19.4     -3.8
0 0    -14.2  52252.4     -8.2    -19.8
0 0     16.2  52244.7     22.2    -27.5
0 0    -11.5  52231.9     -5.5    -40.3
0 0     -4.3  52259.8      1.7    -12.4
0 0     -4.9  52247.9      1.1    -24.3
0 0     -6.7  52247.1     -0.7    -25.1
0 0     11.6  52267.9     17.6     -4.3
0 0     21.4  52246.8     27.4    -25.4
0 0      4.0  52245.1     10.0    -27.1
0 0      4.5  52252.7     10.5    -19.5
0 0     -3.3  52248.7      2.7    -23.5
0 0      3.2  52253.3      9.2    -18.9
0 0     -3.5  52252.4      2.5    -19.8
0 0      1.7  52227.4      7.7    -44.8
0 0    -12.3  52267.2     -6.3     -5.0
0 0      0.8  52229.3      6.8    -42.9
rot1=0-360 rot2=30 mean(erx) mean(ery)     21.6     22.1
rot1 rot2 x y erx ery
0 30    864.1  49263.8     19.2    -49.9
0 30    843.9  49308.1     -1.0     -5.6
0 30    849.3  49322.7      4.4      9.1
0 30    863.7  49301.7     18.7    -12.0
0 30    855.1  49289.8     10.2    -23.9
0 30    874.5  49289.0     29.5    -24.7
30 30   -731.0  49240.8     37.8    -31.4
30 30   -735.2  49251.9     33.6    -20.2
30 30   -729.6  49261.5     39.2    -10.7
60 30  -2160.5  49995.9     26.5    -47.1
60 30  -2153.6  50006.7     33.4    -36.3
60 30  -2156.9  50013.3     30.1    -29.7
90 30  -3029.8  51363.3     -0.0    -56.5
90 30  -3039.7  51402.2     -9.9    -17.6
90 30  -3034.2  51356.9     -4.4    -62.8
120 30  -3088.9  53030.1    -17.6     -3.4
120 30  -3077.1  53018.4     -5.8    -15.0
120 30  -3087.8  53010.5    -16.5    -22.9
150 30  -2351.4  54441.1    -50.9    -10.6
150 30  -2342.6  54430.2    -42.2    -21.4
150 30  -2339.5  54436.8    -39.0    -14.9
180 30   -949.8  55286.2    -26.1     -8.3
180 30   -950.6  55301.6    -26.9      7.1
180 30   -951.6  55294.2    -27.9     -0.3
210 30    683.1  55360.6     -6.9     24.6
210 30    691.8  55338.3      1.8      2.3
210 30    649.8  55367.7    -40.2     31.7
240 30   2112.8  54600.5      4.5     35.4
240 30   2112.9  54599.3      4.6     34.1
240 30   2119.7  54586.4     11.5     21.2
270 30   2975.3  53242.9     24.2     54.5
270 30   2950.4  53199.0     -0.6     10.6
270 30   2975.9  53215.4     24.9     27.1
300 30   3027.4  51597.5     34.9     22.8
300 30   3024.4  51591.8     31.8     17.1
300 30   3030.3  51590.4     37.7     15.7
330 30   2226.9  50153.5      5.2     -2.9
360 30    894.1  49335.0     49.2     21.3
0 30    869.3  49298.3     24.4    -15.4
0 30    853.8  49288.0      8.9    -25.7
0 30    867.4  49310.6     22.5     -3.1
rot1=0-360 rot2=60 mean(erx) mean(ery)     28.5     31.2
rot1 rot2 x y erx ery
0 60   3075.7  47172.3     14.5     -4.7
30 60    172.2  46286.9     90.0    -26.7
30 60    142.6  46327.2     60.4     13.6
30 60    128.2  46325.2     46.0     11.6
30 60    125.5  46324.6     43.3     11.0
60 60  -2869.4  47014.8     60.0    -40.6
60 60  -2852.3  46981.5     77.0    -73.8
60 60  -2863.7  47001.8     65.7    -53.6
90 60  -5153.4  49156.3     13.1    -47.2
90 60  -5158.9  49142.8      7.6    -60.7
90 60  -5158.1  49155.4      8.4    -48.1
120 60  -6045.6  52130.8    -15.8    -51.7
