minibundle x0 y0 L01 L13 offset1 offset2
2 -60474.1  87177.3   5998.5   5947.6   -0.269   -0.076
x0 y0 x1 y1 x3 y3
-60474.1  87177.3 -54475.7  87205.5 -60428.1  87185.5
rot1=0 rot2=0-180 mean(erx) mean(ery)      7.8     12.9
rot1 rot2 x y erx ery
0 136 -50205.1  83091.3    -16.9      3.1
0 180 -48538.6  87215.3     -5.7    -10.1
0 180 -48527.3  87212.9      5.6    -12.5
0 180 -48528.5  87211.9      4.4    -13.5
0 0 -60410.9  87156.4     17.2    -29.1
0 0 -60419.0  87205.6      9.1     20.1
0 0 -60428.0  87164.3      0.1    -21.2
rot1=0-360 rot2=0 mean(erx) mean(ery)      7.1     12.1
rot1 rot2 x y erx ery
0 0 -60426.9  87200.7      1.2     15.2
0 0 -60436.9  87202.4     -8.8     16.9
0 0 -60432.1  87190.5     -4.0      5.0
0 0 -60427.0  87187.2      1.1      1.7
0 0 -60441.2  87199.4    -13.1     13.9
0 0 -60425.3  87168.8      2.8    -16.7
0 0 -60426.4  87177.6      1.7     -7.9
0 0 -60419.0  87173.1      9.1    -12.4
0 0 -60423.8  87178.8      4.3     -6.7
0 0 -60426.2  87192.9      1.9      7.4
0 0 -60425.7  87180.9      2.4     -4.6
0 0 -60427.0  87192.7      1.1      7.2
0 0 -60432.4  87201.5     -4.3     16.0
0 0 -60419.6  87185.3      8.5     -0.2
0 0 -60429.5  87184.3     -1.4     -1.2
30 0 -60416.0  87137.9     14.2    -23.5
30 0 -60415.1  87133.6     15.1    -27.8
30 0 -60434.4  87136.9     -4.2    -24.5
60 0 -60449.1  87134.0     -5.1     -7.6
60 0 -60455.0  87144.6    -10.9      3.0
60 0 -60438.8  87133.1      5.2     -8.5
90 0 -60473.2  87152.4     -7.3     21.1
90 0 -60469.1  87125.5     -3.2     -5.8
90 0 -60463.0  87143.0      3.0     11.6
120 0 -60464.7  87124.6     25.3     -8.9
120 0 -60502.7  87105.4    -12.7    -28.1
120 0 -60503.8  87146.5    -13.8     13.1
180 0 -60533.3  87162.1    -13.2     -7.1
180 0 -60524.8  87170.6     -4.7      1.4
180 0 -60534.4  87163.6    -14.4     -5.6
210 0 -60529.0  87198.1    -11.0      4.8
210 0 -60526.9  87177.9     -8.9    -15.4
210 0 -60523.6  87187.6     -5.6     -5.6
240 0 -60510.6  87234.8     -6.4     21.7
240 0 -60513.4  87228.0     -9.3     14.9
240 0 -60503.1  87220.9      1.0      7.8
270 0 -60489.0  87220.3     -6.8     -3.0
270 0 -60496.7  87254.9    -14.4     31.6
270 0 -60479.7  87215.2      2.6     -8.2
300 0 -60467.1  87228.1     -8.9      6.8
300 0 -60450.6  87232.2      7.6     11.0
300 0 -60452.0  87209.9      6.2    -11.4
330 0 -60436.3  87206.7      2.1     -0.7
330 0 -60439.9  87201.7     -1.5     -5.7
330 0 -60437.2  87206.5      1.1     -0.9
360 0 -60437.1  87219.2     -9.0     33.7
360 0 -60428.4  87211.0     -0.3     25.5
360 0 -60435.8  87213.4     -7.7     27.9
0 0 -60421.4  87170.2      6.7    -15.3
0 0 -60405.7  87162.6     22.4    -22.9
0 0 -60428.6  87161.5     -0.5    -24.0
0 0 -60422.0  87184.7      6.1     -0.8
0 0 -60429.8  87180.7     -1.7     -4.8
0 0 -60428.1  87178.6      0.0     -6.9
0 0 -60445.1  87187.9    -17.0      2.4
0 0 -60407.1  87179.1     21.0     -6.4
0 0 -60421.1  87174.4      7.0    -11.1
0 0 -60423.8  87168.5      4.3    -17.0
0 0 -60423.1  87170.0      5.0    -15.5
0 0 -60431.0  87184.3     -2.9     -1.2
0 0 -60426.2  87179.2      1.9     -6.3
0 0 -60410.9  87156.4     17.2    -29.1
0 0 -60419.0  87205.6      9.1     20.1
0 0 -60428.0  87164.3      0.1    -21.2
rot1=0-360 rot2=30 mean(erx) mean(ery)     13.2     17.2
rot1 rot2 x y erx ery
0 30 -59639.0  84213.3    -17.7     -1.1
0 30 -59597.0  84257.7     24.3     43.3
0 30 -59650.0  84248.9    -28.7     34.5
0 30 -59619.9  84229.2      1.4     14.9
0 30 -59612.0  84222.2      9.3      7.9
0 30 -59600.6  84209.7     20.7     -4.7
30 30 -61219.2  84203.6     -2.1     18.6
30 30 -61216.2  84194.2      0.8      9.2
30 30 -61214.7  84204.6      2.4     19.6
60 30 -62603.8  84959.3      9.9      2.0
60 30 -62593.9  84974.9     19.8     17.6
60 30 -62603.5  84963.6     10.2      6.3
90 30 -63412.3  86296.2     24.8    -28.3
90 30 -63429.0  86313.0      8.1    -11.6
90 30 -63426.7  86276.5     10.4    -48.1
120 30 -63460.2  87908.4      6.3    -11.9
120 30 -63464.1  87893.5      2.4    -26.8
120 30 -63459.4  87892.0      7.0    -28.3
150 30 -62698.0  89302.5     -3.8    -14.4
150 30 -62700.4  89302.8     -6.3    -14.2
150 30 -62692.6  89294.4      1.5    -22.6
240 30 -58358.2  89394.9    -23.8     -2.5
240 30 -58362.9  89396.0    -28.4     -1.4
240 30 -58352.8  89378.5    -18.3    -18.8
270 30 -57548.1  88037.8    -37.0      7.7
270 30 -57537.6  87993.6    -26.5    -36.5
270 30 -57540.6  88010.6    -29.5    -19.6
300 30 -57470.0  86425.7     11.7     -8.7
300 30 -57475.0  86424.5      6.7     -9.9
300 30 -57466.9  86421.8     14.8    -12.6
330 30 -58261.9  85061.6     -7.8     23.9
360 30 -59635.4  84257.1    -14.1     42.8
0 30 -59606.9  84212.5     14.4     -1.9
0 30 -59616.1  84204.5      5.2     -9.8
0 30 -59614.1  84234.1      7.2     19.7
rot1=0-360 rot2=60 mean(erx) mean(ery)     24.8     19.0
rot1 rot2 x y erx ery
0 60 -57460.5  82077.7    -23.5     33.0
30 60 -60390.7  81209.4     19.6     -4.4
30 60 -60448.4  81251.8    -38.2     38.0
30 60 -60458.3  81247.2    -48.1     33.4
30 60 -60465.4  81243.8    -55.1     30.0
60 60 -63391.3  81991.2      9.2     10.4
60 60 -63383.5  81994.3     17.0     13.5
60 60 -63382.8  81982.4     17.8      1.5
90 60 -65549.4  84095.5     57.3    -44.8
90 60 -65556.0  84082.9     50.8    -57.4
90 60 -65550.0  84091.8     56.7    -48.5
300 60 -54520.2  87239.8     -9.6     -1.4
300 60 -54520.8  87250.9    -10.2      9.7
300 60 -54533.9  87262.3    -23.4     21.1
330 60 -55294.4  84258.3    -16.8      7.5
330 60 -55296.4  84253.5    -18.8      2.6
330 60 -55287.0  84251.2     -9.4      0.3
0 60 -57440.4  82035.4     -3.4     -9.3
0 60 -57441.4  82054.1     -4.4      9.4
0 60 -57429.5  82048.3      7.5      3.6
rot1=0-360 rot2=180 mean(erx) mean(ery)     29.3     20.9
rot1 rot2 x y erx ery
0 180 -48523.5  87207.3      9.4    -18.0
0 180 -48525.3  87212.6      7.6    -12.8
0 180 -48532.0  87217.2      0.9     -8.1
0 180 -48525.7  87229.1      7.2      3.7
0 180 -48536.0  87221.3     -3.2     -4.1
0 180 -48542.2  87216.4     -9.3     -9.0
0 180 -48538.6  87215.3     -5.7    -10.1
0 180 -48527.3  87212.9      5.6    -12.5
0 180 -48528.5  87211.9      4.4    -13.5
30 180 -50129.6  81209.0    -20.9    -39.3
30 180 -50121.3  81203.3    -12.6    -45.0
30 180 -50127.4  81206.7    -18.7    -41.6
30 180 -50129.7  81231.1    -21.0    -17.3
30 180 -50128.9  81212.4    -20.2    -35.9
30 180 -50124.9  81189.4    -16.2    -58.9
60 180 -54488.3  76851.6    -26.4     -8.4
60 180 -54481.0  76837.5    -19.1    -22.5
60 180 -54481.0  76851.3    -19.1     -8.7
90 180 -60329.5  75245.3     96.5      9.1
90 180 -60320.2  75233.1    105.8     -3.0
90 180 -60327.5  75236.4     98.5      0.3
120 180 -66330.1  76767.5     73.0    -44.5
120 180 -66327.4  76786.7     75.7    -25.2
120 180 -66316.1  76763.4     87.0    -48.6
150 180 -70784.9  81146.5      6.6    -18.7
150 180 -70773.5  81137.7     18.0    -27.4
150 180 -70794.2  81147.7     -2.8    -17.4
