# MEGARA file for block: 0
# Total number of blocks: 1
# Title:M15
# Description:Example2
# Generated with FMAT version: 3.1.0
# Properties file version: 1
# Date of generation  2017-08-23T18:23:59Z
# Id| Ra	 | Dec	      | Pos
@@SOB@@
0|298.447185|18.781428|360
@@EOB@@
#      Name         |    RA   |    Dec  | Mag |     Type       |Pr|Bid|Pid| X(mm)    | Y(mm)  | Angle(deg) | Enabled| Comment
@@SOS@@
s:171               |298.431950|18.772000|14.17|REFERENCE       |0 |0  |53 |42.799157 |-27.972124|79.2460   |1|                    
s:52                |298.458810|18.776400|14.61|REFERENCE       |0 |0  |54 |-32.657352|-14.917585|152.3380  |1|                    
s:174               |298.428690|18.777100|13.45|REFERENCE       |0 |0  |55 |51.955850 |-12.838972|293.8975  |1|                    
                    |298.454335|18.775557|     |UNKNOWN         |  |   |56 |-20.085000|-17.421000|0.0000    |0|                    
                    |298.418561|18.775559|     |UNKNOWN         |  |   |57 |80.411000 |-17.407000|0.0000    |0|                    
s:10                |298.480670|18.766000|14.22|REFERENCE       |0 |0  |58 |-94.072505|-45.767800|63.7341   |1|                    
s:139               |298.440990|18.771500|14.71|REFERENCE       |0 |0  |59 |17.403283 |-29.457210|175.2921  |1|                    
s:23                |298.473750|18.767800|14.21|REFERENCE       |0 |0  |60 |-74.630768|-40.430271|359.5063  |1|                    
                    |298.436452|18.769694|     |UNKNOWN         |  |   |61 |30.151000 |-34.814000|0.0001    |0|                    
                    |298.465061|18.769694|     |UNKNOWN         |  |   |62 |-50.219000|-34.814000|0.0000    |0|                    
                    |298.429294|18.769694|     |UNKNOWN         |  |   |63 |50.260000 |-34.814000|0.0000    |0|                    
                    |298.457914|18.769694|     |UNKNOWN         |  |   |64 |-30.142000|-34.814000|0.0000    |0|                    
s:192               |298.424680|18.771100|14.86|REFERENCE       |0 |0  |65 |63.222990 |-30.640363|284.5676  |1|                    
                    |298.450748|18.769694|     |UNKNOWN         |  |   |66 |-10.010000|-34.816000|0.0000    |0|                    
s:205               |298.415800|18.772500|15.03|REFERENCE       |0 |0  |67 |88.168834 |-26.482627|242.2413  |1|                    
s:22                |298.475950|18.763000|16.33|REFERENCE       |0 |0  |68 |-80.813649|-54.671462|1.3482    |1|                    
s:169               |298.436700|18.763500|14.13|REFERENCE       |0 |0  |69 |29.456545 |-53.193563|135.7309  |1|                    
s:43                |298.467300|18.763300|14.67|REFERENCE       |0 |0  |70 |-56.511943|-53.784662|87.7937   |1|                    
s:175               |298.433120|18.766000|14.85|REFERENCE       |0 |0  |71 |39.513702 |-45.775083|218.8777  |1|                    
                    |298.461494|18.763831|     |UNKNOWN         |  |   |72 |-40.199000|-52.212000|0.0000    |0|                    
                    |298.425735|18.763823|     |UNKNOWN         |  |   |73 |60.262000 |-52.232000|0.0000    |0|                    
s:90                |298.455590|18.762000|15.00|REFERENCE       |0 |0  |74 |-23.613712|-57.644545|0.3965    |1|                    
s:203               |298.420340|18.767100|14.26|REFERENCE       |0 |0  |75 |75.417138 |-42.507133|276.8743  |1|                    
                    |298.479378|18.757959|     |UNKNOWN         |  |   |76 |-90.446000|-69.628000|0.0001    |1|                    
s:165               |298.439880|18.757400|16.83|REFERENCE       |0 |0  |77 |20.523315 |-71.293410|145.7861  |1|                    
                    |298.472245|18.757953|     |UNKNOWN         |  |   |78 |-70.408000|-69.647000|0.0000    |0|                    
s:172               |298.438690|18.755700|16.83|REFERENCE       |0 |0  |79 |23.866893 |-76.337358|7.1637    |1|                    
s:66                |298.462960|18.760700|16.28|REFERENCE       |0 |0  |80 |-44.319705|-61.500389|203.0627  |1|                    
                    |298.429267|18.757954|     |UNKNOWN         |  |   |81 |50.340000 |-69.649000|0.0000    |0|                    
s:80                |298.459640|18.760700|16.57|REFERENCE       |0 |0  |82 |-34.992257|-61.501128|265.3211  |1|                    
                    |298.422156|18.757951|     |UNKNOWN         |  |   |83 |70.319000 |-69.653000|359.9999  |0|                    
                    |298.450761|18.757959|     |UNKNOWN         |  |   |84 |-10.047000|-69.635000|0.0000    |0|                    
                    |298.415006|18.757944|     |UNKNOWN         |  |   |85 |90.408000 |-69.671000|359.9998  |1|                    
                    |298.468639|18.752093|     |UNKNOWN         |  |   |86 |-60.277000|-87.036000|0.0000    |1|                    
s:166               |298.442020|18.751600|16.62|REFERENCE       |0 |0  |87 |14.511426 |-88.502888|313.6059  |1|                    
                    |298.461491|18.752094|     |UNKNOWN         |  |   |88 |-40.195000|-87.036000|0.0001    |1|                    
s:197               |298.429620|18.752700|14.17|REFERENCE       |0 |0  |89 |49.350441 |-85.236840|152.9814  |1|                    
                    |298.454345|18.752074|     |UNKNOWN         |  |   |90 |-20.116000|-87.095000|0.0000    |1|                    
s:201               |298.428130|18.750100|14.56|REFERENCE       |0 |0  |91 |53.537580 |-92.950910|359.1742  |1|                    
s:208               |298.449860|18.763700|13.67|REFERENCE       |0 |0  |92 |-7.515485 |-52.600951|313.8114  |1|                    
@@EOS@@
