# MEGARA file for block: 0
# Total number of blocks: 1
# Title:M15
# Description:Example1
# Generated with FMAT version: 3.1.0
# Properties file version: 1
# Date of generation  2017-08-23T18:23:59Z
# Id| Ra	 | Dec	      | Pos
@@SOB@@
0|322.488168|12.15447|360
@@EOB@@
#      Name         |    RA   |    Dec  | Mag |     Type       |Pr|Bid|Pid| X(mm)    | Y(mm)  | Angle(deg) | Enabled| Comment
@@SOS@@
1745948323734088576 |322.488641|12.171938|14.76|REFERENCE       |0 |0  |1  |-1.373325 |51.829894 |291.3290  |1|foo comment         
1745948465465041024 |322.509977|12.184123|15.81|REFERENCE       |0 |0  |2  |-63.252452|87.988712 |266.2268  |1|foo comment         
1745948396745292800 |322.480862|12.184911|14.71|REFERENCE       |0 |0  |3  |21.187406 |90.323424 |177.8357  |1|foo comment         
1745948358093851904 |322.502114|12.182561|14.85|REFERENCE       |0 |0  |4  |-40.447394|83.350603 |13.3013   |1|foo comment         
1745949148367787264 |322.475787|12.181885|14.62|REFERENCE       |0 |0  |5  |35.908305 |81.345610 |359.5438  |1|foo comment         
1745948426813313920 |322.494266|12.183296|15.84|REFERENCE       |0 |0  |6  |-17.685561|85.532607 |72.2199   |1|foo comment         
1745949148367775616 |322.467949|12.180943|12.89|REFERENCE       |0 |0  |7  |58.639113 |78.552367 |34.8148   |1|foo comment         
1745948255014664192 |322.519226|12.175724|13.44|REFERENCE       |0 |0  |8  |-90.079343|63.069016 |38.3206   |1|foo comment         
1745948396745193088 |322.485753|12.177791|14.41|REFERENCE       |0 |0  |9  |7.002499  |69.198711 |293.0739  |1|foo comment         
1745948362385690624 |322.511456|12.177189|14.66|REFERENCE       |0 |0  |10 |-67.543821|67.415108 |69.2223   |1|foo comment         
1745948396745200000 |322.479720|12.180259|15.41|REFERENCE       |0 |0  |11 |24.499595 |76.520497 |269.0925  |1|foo comment         
1745948362385642496 |322.506736|12.176918|15.90|REFERENCE       |0 |0  |12 |-53.855834|66.607683 |333.6020  |1|foo comment         
1745949152659344000 |322.471787|12.178477|15.74|REFERENCE       |0 |0  |13 |47.510356 |71.235429 |255.9631  |1|foo comment         
1745948358093846784 |322.499436|12.176471|15.66|REFERENCE       |0 |0  |14 |-32.681437|65.279971 |354.8891  |1|foo comment         
1745948770410647552 |322.464023|12.178415|15.73|REFERENCE       |0 |0  |15 |70.027119 |71.051824 |197.5766  |1|foo comment         
1745948396745238528 |322.492241|12.177017|15.33|REFERENCE       |0 |0  |16 |-11.815536|66.900343 |341.4822  |1|foo comment         
1745948774702141184 |322.457187|12.178864|15.25|REFERENCE       |0 |0  |17 |89.853729 |72.387421 |204.4003  |1|foo comment         
1745948151935445760 |322.516527|12.171993|15.21|REFERENCE       |0 |0  |18 |-82.254512|51.997584 |286.4871  |1|foo comment         
1745948392453551488 |322.481102|12.170646|15.69|REFERENCE       |0 |0  |19 |20.493327 |47.995994 |26.0797   |1|foo comment         
1745948358093860608 |322.507169|12.171746|14.50|REFERENCE       |0 |0  |20 |-55.111821|51.263997 |105.8589  |1|foo comment         
1745948018787892992 |322.474422|12.171307|15.70|REFERENCE       |0 |0  |21 |39.867041 |49.960432 |2.1340    |1|foo comment         
1745948358093851776 |322.501897|12.170342|15.38|REFERENCE       |0 |0  |22 |-39.819992|47.096140 |29.7370   |1|foo comment         
1745948014496409600 |322.467973|12.171604|15.48|REFERENCE       |0 |0  |23 |58.573415 |50.843225 |319.4913  |1|foo comment         
1745948323734100864 |322.495199|12.171461|12.64|REFERENCE       |0 |0  |24 |-20.394241|50.414864 |359.2350  |1|foo comment         
1745948770410643328 |322.459079|12.174016|14.80|REFERENCE       |0 |0  |25 |84.367664 |57.999970 |181.9867  |1|foo comment         
1745948151935448448 |322.518799|12.164358|15.82|REFERENCE       |0 |0  |26 |-88.845556|29.345064 |45.6259   |1|foo comment         
1745948328025497856 |322.484444|12.165946|15.59|REFERENCE       |0 |0  |27 |10.799477 |34.052656 |49.8526   |1|foo comment         
1745948151935437952 |322.511562|12.165686|15.80|REFERENCE       |0 |0  |28 |-67.855266|33.282568 |72.6726   |1|foo comment         
1745948018787827840 |322.478047|12.166076|15.94|REFERENCE       |0 |0  |29 |29.355828 |34.436557 |298.6995  |1|foo comment         
1745948156228179456 |322.505242|12.166428|15.34|REFERENCE       |0 |0  |30 |-49.524583|35.483696 |139.9885  |1|foo comment         
1745948014496413440 |322.471034|12.164727|15.84|REFERENCE       |0 |0  |31 |49.695072 |30.435820 |14.4091   |1|foo comment         
1745948328025595520 |322.498289|12.166154|13.38|REFERENCE       |0 |0  |32 |-29.357481|34.669562 |81.5469   |1|foo comment         
1745948014496405760 |322.465408|12.165920|15.13|REFERENCE       |0 |0  |33 |66.012809 |33.977022 |302.3683  |1|foo comment         
1745948328025410176 |322.491634|12.165699|12.60|REFERENCE       |0 |0  |34 |-10.055244|33.318375 |6.3097    |1|foo comment         
1745948736050902784 |322.456594|12.168514|15.10|REFERENCE       |0 |0  |35 |91.578109 |41.677549 |208.4271  |1|foo comment         
                    |322.515886|12.160343|     |UNKNOWN         |  |   |36 |-80.397000|17.431000 |0.0000    |0|                    
1745947950068171904 |322.481188|12.159350|15.52|REFERENCE       |0 |0  |37 |20.245896 |14.482090 |16.6514   |1|foo comment         
1745948117575696256 |322.509481|12.159064|15.82|REFERENCE       |0 |0  |38 |-61.819122|13.633301 |358.1286  |1|foo comment         
1745947945776942464 |322.474287|12.159367|12.88|REFERENCE       |0 |0  |39 |40.260280 |14.531568 |14.3916   |1|foo comment         
1745948117575686400 |322.503777|12.158474|15.70|REFERENCE       |0 |0  |40 |-45.277030|11.883596 |358.0204  |1|foo comment         
1745947980136672640 |322.469236|12.158859|15.88|REFERENCE       |0 |0  |41 |54.912670 |13.025146 |345.4016  |1|foo comment         
1745948121867062400 |322.495727|12.160373|15.28|REFERENCE       |0 |0  |42 |-21.926604|17.515330 |275.1551  |1|foo comment         
1745947980136660992 |322.459194|12.156753|16.00|REFERENCE       |0 |0  |43 |84.040443 |6.778329  |91.2834   |1|foo comment         
1745948053147563904 |322.510774|12.152213|15.48|REFERENCE       |0 |0  |44 |-65.573331|-6.693935 |81.0454   |1|foo comment         
1745947915706771968 |322.477165|12.152343|14.97|REFERENCE       |0 |0  |45 |31.915619 |-6.307992 |50.2536   |1|foo comment         
1745948121866998016 |322.503451|12.153790|15.98|REFERENCE       |0 |0  |46 |-44.330749|-2.016087 |103.7996  |1|foo comment         
1745947915706807040 |322.471571|12.153069|15.69|REFERENCE       |0 |0  |47 |48.141784 |-4.153368 |355.8660  |1|foo comment         
1745948121866882816 |322.498621|12.153525|14.63|REFERENCE       |0 |0  |48 |-30.320347|-2.803178 |11.1019   |1|foo comment         
1745947911417190400 |322.465311|12.152412|15.83|REFERENCE       |0 |0  |49 |66.299836 |-6.101265 |4.4261    |1|foo comment         
1745948048856230784 |322.516661|12.149359|14.47|REFERENCE       |0 |0  |50 |-82.648949|-15.159962|239.6979  |1|foo comment         
1745947709548260992 |322.483076|12.146216|15.96|REFERENCE       |0 |0  |51 |14.770574 |-24.490140|11.7847   |1|foo comment         
1745948053147383680 |322.509410|12.148277|15.86|REFERENCE       |0 |0  |52 |-61.616017|-18.371491|316.0960  |1|foo comment         
1745947911417204736 |322.474558|12.146894|15.51|REFERENCE       |0 |0  |53 |39.477280 |-22.478069|17.6432   |1|foo comment         
1745947675190230784 |322.502864|12.147148|15.56|REFERENCE       |0 |0  |54 |-42.629120|-21.723635|356.3554  |1|foo comment         
1745947911417193728 |322.467355|12.148413|15.43|REFERENCE       |0 |0  |55 |60.369983 |-17.969125|15.7886   |1|foo comment         
1745947743909712128 |322.497215|12.149485|14.46|REFERENCE       |0 |0  |56 |-26.242211|-14.789324|281.5734  |1|foo comment         
1745947980136661248 |322.459494|12.150738|13.83|REFERENCE       |0 |0  |57 |83.171573 |-11.068642|192.0004  |1|foo comment         
1745936297825710336 |322.517522|12.140969|14.02|REFERENCE       |0 |0  |58 |-85.149780|-40.053381|85.2388   |1|foo comment         
1745947705258789248 |322.483880|12.141445|15.89|REFERENCE       |0 |0  |59 |12.436436 |-38.646192|53.9207   |1|foo comment         
                    |322.512394|12.142734|     |UNKNOWN         |  |   |60 |-70.275000|-34.818000|0.0000    |1|                    
1745947705254930176 |322.475742|12.143210|15.30|REFERENCE       |0 |0  |61 |36.044354 |-33.408778|134.6675  |1|foo comment         
1745947670899087232 |322.503663|12.143699|15.84|REFERENCE       |0 |0  |62 |-44.947302|-31.955518|149.3586  |1|foo comment         
1745947911417193984 |322.467776|12.144975|15.82|REFERENCE       |0 |0  |63 |59.150312 |-28.169030|201.4203  |1|foo comment         
                    |322.498559|12.142736|     |UNKNOWN         |  |   |64 |-30.142000|-34.814000|0.0000    |0|                    
1745947808337974656 |322.465164|12.141562|14.76|REFERENCE       |0 |0  |65 |66.727017 |-38.296213|339.0012  |1|foo comment         
1745947739618544128 |322.492843|12.140339|15.65|REFERENCE       |0 |0  |66 |-13.562733|-41.928313|15.9129   |1|foo comment         
1745947808337966592 |322.456012|12.140795|15.06|REFERENCE       |0 |0  |67 |93.275109 |-40.567511|58.9282   |1|foo comment         
1745935924158866816 |322.513171|12.135167|15.53|REFERENCE       |0 |0  |68 |-72.528971|-57.268311|110.2503  |1|foo comment         
                    |322.481243|12.136864|     |UNKNOWN         |  |   |69 |20.086000 |-52.238000|360.0000  |1|                    
1745935919868577536 |322.511087|12.134879|15.50|REFERENCE       |0 |0  |70 |-66.483406|-58.126048|359.6423  |1|foo comment         
1745947602179557248 |322.473446|12.136174|15.85|REFERENCE       |0 |0  |71 |42.704150 |-54.282778|66.8330   |1|foo comment         
1745947670899081472 |322.500401|12.135748|15.99|REFERENCE       |0 |0  |72 |-35.485144|-55.547105|83.8997   |1|foo comment         
1745947812627540864 |322.466775|12.136542|15.72|REFERENCE       |0 |0  |73 |62.055590 |-53.192276|71.9804   |1|foo comment         
1745947636539331072 |322.494138|12.135523|14.18|REFERENCE       |0 |0  |74 |-17.317965|-56.217404|58.9672   |1|foo comment         
1745947808337968512 |322.458049|12.134773|13.08|REFERENCE       |0 |0  |75 |87.367373 |-58.437910|101.6082  |1|foo comment         
1745935919868590208 |322.519367|12.127880|14.86|REFERENCE       |0 |0  |76 |-90.505661|-78.889697|53.4511   |1|foo comment         
1745947640828687872 |322.483397|12.130622|15.83|REFERENCE       |0 |0  |77 |13.838534 |-70.759143|92.8957   |1|foo comment         
1745935919868583424 |322.514300|12.128910|15.98|REFERENCE       |0 |0  |78 |-75.807817|-75.834537|2.8942    |1|foo comment         
                    |322.477769|12.131003|     |UNKNOWN         |  |   |79 |30.164000 |-69.628000|0.0000    |1|                    
                    |322.505466|12.130995|     |UNKNOWN         |  |   |80 |-50.179000|-69.649000|0.0000    |1|                    
                    |322.470814|12.130995|     |UNKNOWN         |  |   |81 |50.340000 |-69.649000|0.0000    |0|                    
