Id	dx	dy
1	-6.76066804512003	-3.55029360162658
2	-10.6524029982894	-1.54474867374485
3	-8.8723455637833	8.21053265410862
4	0.0910936287893094	-2.48488688131299
5	-4.33770747256043	-5.74005011155863
6	1.21196646566874	4.87527143091954
7	-1.12312359671263	-5.20232341415385
8	0.7906116397793	-2.98226093386009
9	-8.24880902440022	-3.59129700618037
10	1.76518417095578	3.97527123116977
11	-13.0872823439742	4.28040913925967
12	-5.20101534644622	-5.01041023868309
13	-11.2023260327752	-0.331437733499726
14	-2.77370526572685	-4.77526583535222
15	-10.855306371015	4.52332936449744
16	-2.84271098687793	-4.18601974439009
17	-11.1913351617821	5.17190457488527
18	-7.65595665264027	-3.33486897443476
19	0.871346013394895	-1.78762289710767
20	1.06423195235024	6.82981798683059
21	-0.27280967091712	-2.06481611347878
22	0.877043187513159	-2.34923785124523
23	-4.4336204952651	-4.05549229125496
24	-0.331153673575448	-1.85847482968154
25	-6.10568555629557	10.3032810114911
26	1.77806072543881	-1.20836623838201
27	0.7883886561587	3.8715289940704
28	1.22116705745752	4.8937293248386
29	-5.47043844524692	-3.54164681851354
30	-6.54127619708866	8.02332514838483
31	-0.1475020426005	-3.06893827882569
32	-1.17189535436011	6.80094211532839
33	-8.62230370886829	-3.94729412667059
34	0.41785970302063	-0.545382398809544
35	-9.40060442731453	8.9000697355162
36	0	0
37	0.58851735904372	-1.40157681994821
38	-1.62460619949958	-3.93564697752752
39	0.43548932681685	-1.55109505089649
40	-5.18612036805757	-5.69568209606661
41	-6.15501502852665	-5.55831861814248
42	-8.72784823127644	-2.7305524397105
43	0.863958613258859	-3.22630498509303
44	2.71130314664756	0.228462911164052
45	1.76342197674835	-1.61618171942194
46	1.99880875688694	5.7470807972988
47	-2.30662329922924	-4.51252900765658
48	0.221609269730727	-1.80235586858829
49	-3.85564528468586	-5.67141098724373
50	-11.849652158474	1.45689361469433
51	-4.92695431560723	-6.00144530693695
52	-4.29411668628816	-3.77676070770028
53	-0.200670928041305	-3.44419805666725
54	-2.60558018403144	-4.63773445184684
55	0.575993966255041	0.913915186629385
56	-12.4562770829184	-0.388073756299512
57	-7.61882460062935	9.94750104758938
58	3.07316922181488	1.89229461667056
59	2.22016639704733	1.18700086803156
60	0	0
61	-0.950358689995724	8.96324481312627
62	-2.83248425697017	9.77869099339095
63	-1.62254037366966	9.35657857363382
64	0	0
65	-4.81714733853087	-5.10275209278409
66	-3.09995460372076	-5.65136159871166
67	2.40858357180781	-0.333855546036389
68	3.2971588448959	2.83404618355618
69	0	0
70	-6.19825851293071	-5.93018807976377
71	1.65681451190052	3.97342783379754
72	2.58206036425847	3.73685359596685
73	0.574863729855764	5.41737030419291
74	2.2494384323119	1.24099318254019
75	3.31721062298992	1.52663310289771
76	-0.19428137885933	-4.29442165320305
77	0.867827960819493	6.33114707696966
78	-5.28760320954503	-5.93204345002457
79	0	0
80	0	0
81	0	0
82	-11.03303052252	6.88168825552525
83	0	0
84	0	0
85	-10.6067792592151	-2.77399326161988
86	-6.58992922071105	9.83335702543548
87	-6.17829352620306	-5.21661654996228
88	0.42408210366775	4.77475823598598
89	0.45591987531617	-2.89360932823139
90	-10.5582157578512	7.34790367117863
91	2.02645583460128	6.97854024687149
92	1.78706759600922	4.35918505304388
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
