Id	x3	y3
1	0.0170000000000066	52.217999724509
2	-60.274	87.048999724509
3	20.152	86.9999997268759
4	-40.132	87.0489997253908
5	40.227	87.0459997244626
6	-20.133	87.05099972191
7	60.209	87.0299997168049
8	-90.49	69.6579997311921
9	10.049	69.6189997273865
10	-70.338	69.6309997275721
11	30.158	69.6279997293357
12	-50.221	69.6399997320739
13	50.22	69.6359997375967
14	-30.137	69.6189997278041
15	70.406	69.6089997245554
16	-9.97799999999999	69.6199997233024
17	90.521	69.6399997243698
18	-80.433	52.2209997279898
19	20.146	52.2209997305887
20	-60.282	52.2359997271544
21	40.224	52.2129997277577
22	-40.19	52.2349997236736
23	60.282	52.2139997243234
24	-20.095	52.2069997223277
25	80.395	52.221999726087
26	-90.447	34.8339997294285
27	10.031	34.8379997304495
28	-70.344	34.8119997269688
29	30.166	34.8139997294749
30	-50.302	34.8249997226526
31	50.27	34.8229997253444
32	-30.126	34.8189997237665
33	70.327	34.7929997225134
34	-10.029106810438	34.8404707277949
35	90.463	34.8139997372254
36	-80.397	17.4309997320275
37	20.121	17.4149997228382
38	-60.274	17.4069997293821
39	40.252	17.3989997300318
40	-40.175	17.4079997336054
41	60.314	17.3989997304959
42	-20.09	17.4049997310529
43	80.414	17.4059997270616
44	-70.185	0.000999740010022255
45	30.156	-2.67044329157803e-07
46	-50.24	0.00299973174900547
47	50.266	0.00499972423055199
48	-30.183	0.00599972771131749
49	70.322	-0.0370002749804745
50	-80.351	-17.3980002692256
51	20.072	-17.4180002736346
52	-60.349	-17.4050002676013
53	40.155	-17.4080002786005
54	-40.183	-17.3990002641205
55	60.245	-17.4340002751661
56	-20.085	-17.4210002695505
57	80.411	-17.4070002748877
58	-90.466	-34.8080002704323
59	10.06	-34.8260002781828
60	-70.275	-34.8180002687615
61	30.151	-34.8140002708964
62	-50.219	-34.814000268483
63	50.26	-34.8140002669979
64	-30.142	-34.8140002786933
65	70.37	-34.82900026723
66	-10.01	-34.8160002716389
67	90.46	-34.8140002739595
68	-80.352	-52.248000270293
69	20.086	-52.2380002791574
70	-60.3	-52.2270002750733
71	40.175	-52.2340002768369
72	-40.199	-52.2120002747484
73	60.262	-52.2320002758159
74	-20.0550255661874	-52.211534767531
75	80.346	-52.2440002719638
76	-90.446	-69.6280002662089
77	10.065	-69.6280002714997
78	-70.408	-69.6470002764656
79	30.164	-69.6280002767441
80	-50.179	-69.6490002697825
81	50.34	-69.649000272103
82	-30.1690036442845	-69.6377909110111
83	70.319	-69.6530002761871
84	-10.047	-69.6350002711284
85	90.408	-69.6710002751197
86	-60.277	-87.0360002622641
87	20.13	-87.0720002683438
88	-40.195	-87.0360002693648
89	40.213	-87.0790002754446
90	-20.116	-87.0950002705251
91	60.269	-87.0970002786933
92	0.0160000000000062	-52.2210002657448
93	-80.4	87.0355527307048
94	-90.45	-2.69295224181118e-07
95	6.21724893790088e-15	87.0355527307048
96	-80.4	-87.0355532692952
97	80.4	87.0355527307048
98	6.21724893790088e-15	-87.0355532692952
99	90.45	-2.69295224181118e-07
100	80.4	-87.0355532692952
